package	candidate_version	selection_state
libglx0	1.7.0-1+b2	selected
libgme0	0.6.3-7+b2	selected
libgnome-bg-4-2t64	44.3-3	selected
libgnome-bluetooth-ui-3.0-13	47.1-1	selected
libgnome-desktop-3-20t64	44.3-3	selected
libgnome-desktop-4-2t64	44.3-3	selected
libgnome-rr-4-2t64	44.3-3	selected
libgoa-1.0-0b	3.54.5-1~deb13u1	selected
libgoa-1.0-common	3.54.5-1~deb13u1	selected
libgoa-backend-1.0-2	3.54.5-1~deb13u1	selected
libgomp1	14.2.0-19	selected
libgpgme11t64	1.24.2-3	selected
libgpgmepp6t64	1.24.2-3	selected
libgphoto2-6t64	2.5.31-4	selected
libgphoto2-port12t64	2.5.31-4	selected
libgpm2	1.20.7-11+b2	selected
libgpod4t64	0.8.3-22+b1	selected
libgraphene-1.0-0	1.10.8-5	selected
libgs-common	10.05.1~dfsg-1+deb13u1	selected
libgs10	10.05.1~dfsg-1+deb13u1	selected
libgs10-common	10.05.1~dfsg-1+deb13u1	selected
libgsl28	2.8+dfsg-5	selected
libgslcblas0	2.8+dfsg-5	selected
libgsm1	1.0.22-1+b2	selected
libgsound0t64	1.0.3-3.2+b4	selected
libgspell-1-3	1.14.0-2+b1	selected
libgspell-1-common	1.14.0-2	selected
libgssdp-1.6-0	1.6.4-1~deb13u1	selected
libgstreamer-gl1.0-0	1.26.2-1+deb13u1	selected
libgstreamer-plugins-base1.0-0	1.26.2-1+deb13u1	selected
libgstreamer1.0-0	1.26.2-2	selected
libgtk-4-1	4.18.6+ds-2	selected
libgtk-4-common	4.18.6+ds-2	selected
libgtk-4-media-gstreamer	4.18.6+ds-2	selected
libgtk-layer-shell0	0.9.0-2	selected
libgtk2.0-0t64	2.24.33-7	selected
libgtk2.0-common	2.24.33-7	selected
libgtkmm-3.0-1t64	3.24.10-1	selected
libgtkmm-4.0-0	4.18.0-1	selected
libgtksourceview-4-0	4.8.4-6	selected
libgtksourceview-4-common	4.8.4-6	selected
libgtksourceview-5-0	5.16.0-1	selected
libgtksourceview-5-common	5.16.0-1	selected
libgtop-2.0-11	2.41.3-1+b2	selected
libgtop2-common	2.41.3-1	selected
libgts-0.7-5t64	0.7.6+darcs121130-5.2+b1	selected
libgudev-1.0-0	238-6	selected
libgupnp-1.6-0	1.6.8-2	selected
libgupnp-igd-1.6-0	1.6.0-4+b1	selected
libgusb2	0.4.9-1+b1	selected
libgvc6	2.42.4-3	selected
libgvpr2	2.42.4-3	selected
libgweather-4-0t64	4.4.4-1	selected
libgweather-4-common	4.4.4-1	selected
libhandy-1-0	1.8.3-2	selected
libharfbuzz-gobject0	10.2.0-1+deb13u1	selected
libharfbuzz-icu0	10.2.0-1+deb13u1	selected
libharfbuzz-subset0	10.2.0-1+deb13u1	selected
libheif-plugin-dav1d	1.19.8-1+deb13u1	selected
libheif-plugin-libde265	1.19.8-1+deb13u1	selected
libheif1	1.19.8-1+deb13u1	selected
libhidapi-hidraw0	0.14.0-1+b2	selected
libhttp-parser2.9	2.9.4-6+b2	selected
libhwasan0	14.2.0-19	selected
libhwy1t64	1.2.0-2+b2	selected
libhyphen0	2.8.8-7+b2	selected
libibus-1.0-5	1.5.32-2	selected
libice6	2:1.1.1-1	selected
libidn12	1.43-1	selected
libiec61883-0	1.2.0-7	selected
libieee1284-3t64	0.2.11-14.1+b1	selected
libijs-0.35	0.35-15.2	selected
libimagequant0	2.18.0-1+b2	selected
libimath-3-1-29t64	3.1.12-1+b3	selected
libimobiledevice-1.0-6	1.3.0+git20250228-2	selected
libimobiledevice-glue-1.0-0	1.3.1-1	selected
libinih1	59-1	selected
libinireader0	59-1	selected
libinput-bin	1.28.1-1+deb13u1	selected
libinput10	1.28.1-1+deb13u1	selected
libinstpatch-1.0-2	1.1.6-1+b2	selected
libip4tc2	1.8.11-2	selected
libip6tc2	1.8.11-2	selected
libisl23	0.27-1	selected
libitm1	14.2.0-19	selected
libixml11t64	1:1.14.20-1+deb13u1	selected
libjack-jackd2-0	1.9.22~dfsg-4	selected
libjavascriptcoregtk-4.1-0	2.52.5-1~deb13u1	selected
libjbig2dec0	0.20-1+b3	selected
libjemalloc2	5.3.0-3	selected
libjson-c5	0.18+ds-1	selected
libjsoncpp26	1.9.6-3	selected
libjxl-gdk-pixbuf	0.11.2-0.1~deb13u2	selected
libjxl0.11	0.11.2-0.1~deb13u2	selected
libkate1	0.4.3-1	selected
libkchart2	2.8.0-4	selected
libkchart6-3	3.0.1-4	selected
libkdsingleapplication-qt6-1.0	1.1.0-2	selected
libkf5activities5	5.116.0-1	selected
libkf5archive-data	5.116.0-1	selected
libkf5archive5	5.116.0-1	selected
libkf5auth-data	5.116.0-1	selected
libkf5authcore5	5.116.0-1	selected
libkf5bookmarks-data	5.116.0-1	selected
libkf5bookmarks5	5.116.0-1	selected
libkf5codecs-data	5.116.0-1	selected
libkf5codecs5	5.116.0-1	selected
libkf5completion-data	5.116.0-1	selected
libkf5completion5	5.116.0-1	selected
libkf5config-data	5.116.0-1	selected
libkf5configcore5	5.116.0-1	selected
libkf5configgui5	5.116.0-1	selected
libkf5configwidgets-data	5.116.0-1	selected
libkf5configwidgets5	5.116.0-1	selected
libkf5coreaddons-data	5.116.0-1	selected
libkf5coreaddons5	5.116.0-1	selected
libkf5crash5	5.116.0-1	selected
libkf5dbusaddons-data	5.116.0-1	selected
libkf5dbusaddons5	5.116.0-1	selected
libkf5doctools5	5.116.0-1	selected
libkf5globalaccel-bin	5.116.0-1	selected
libkf5globalaccel-data	5.116.0-1	selected
