package	candidate_version	selection_state
libkf5globalaccel5	5.116.0-1	selected
libkf5guiaddons-data	5.116.0-2	selected
libkf5guiaddons5	5.116.0-2	selected
libkf5holidays-data	1:5.116.0-1	selected
libkf5holidays5	1:5.116.0-1	selected
libkf5i18n-data	5.116.0-1	selected
libkf5i18n5	5.116.0-1	selected
libkf5iconthemes-data	5.116.0-1	selected
libkf5iconthemes5	5.116.0-1	selected
libkf5itemviews-data	5.116.0-1	selected
libkf5itemviews5	5.116.0-1	selected
libkf5jobwidgets-data	5.116.0-1	selected
libkf5jobwidgets5	5.116.0-1	selected
libkf5kiocore5	5.116.0-1	selected
libkf5kiofilewidgets5	5.116.0-1	selected
libkf5kiogui5	5.116.0-1	selected
libkf5kiontlm5	5.116.0-1	selected
libkf5kiowidgets5	5.116.0-1	selected
libkf5notifications-data	5.116.0-1	selected
libkf5notifications5	5.116.0-1	selected
libkf5parts-data	5.116.0-1	selected
libkf5parts5	5.116.0-1	selected
libkf5service-bin	5.116.0-1	selected
libkf5service-data	5.116.0-1	selected
libkf5service5	5.116.0-1	selected
libkf5solid5	5.116.0-1	selected
libkf5solid5-data	5.116.0-1	selected
libkf5sonnet5-data	5.116.0-1	selected
libkf5sonnetcore5	5.116.0-1	selected
libkf5sonnetui5	5.116.0-1	selected
libkf5textwidgets-data	5.116.0-1	selected
libkf5textwidgets5	5.116.0-1	selected
libkf5wallet-bin	5.116.0-1	selected
libkf5wallet-data	5.116.0-1	selected
libkf5wallet5	5.116.0-1	selected
libkf5widgetsaddons-data	5.116.0-1	selected
libkf5widgetsaddons5	5.116.0-1	selected
libkf5windowsystem-data	5.116.0-1	selected
libkf5windowsystem5	5.116.0-1	selected
libkf5xmlgui-data	5.116.0-1	selected
libkf5xmlgui5	5.116.0-1	selected
libkf6archive-data	6.13.0-2	selected
libkf6archive6	6.13.0-2	selected
libkf6auth-data	6.13.0-1	selected
libkf6authcore6	6.13.0-1	selected
libkf6bookmarks-data	6.13.0-1	selected
libkf6bookmarks6	6.13.0-1	selected
libkf6bookmarkswidgets6	6.13.0-1	selected
libkf6breezeicons6	6.13.0-3	selected
libkf6codecs-data	6.13.0-1	selected
libkf6codecs6	6.13.0-1	selected
libkf6colorscheme-data	6.13.0-1	selected
libkf6colorscheme6	6.13.0-1	selected
libkf6completion-data	6.13.0-1	selected
libkf6completion6	6.13.0-1	selected
